segment_id,segment_name,frequency_orders,monetary_total_spend,avg_order_value,total_items_bought,recency_days,customer_tenure_days,orders_last_30d,spend_last_30d,orders_last_90d,spend_last_90d,num_reviews,avg_review_score,negative_review_ratio,num_payment_types_used,avg_installments,credit_card_ratio,num_unique_categories,favorite_category_ratio,avg_items_per_order,orders_per_tenure_day,spend_per_tenure_day,recent_30d_spend_share,recent_90d_spend_share,recent_30d_order_share,recent_90d_order_share
0,Active Recent Customers,1.043,165.24,158.236,1.169,71.566,5.412,0.001,0.135,1.012,160.972,1.211,4.245,0.108,1.026,2.737,0.75,1.022,0.974,1.12,0.004,1.144,0.001,0.987,0.001,0.987
1,Dormant One-Time Customers,1.035,159.403,154.49,1.152,311.34,2.625,0.0,0.0,0.0,0.0,1.213,4.57,0.001,1.027,2.875,0.758,1.007,0.975,1.111,0.003,0.384,0.0,0.0,0.0,0.0
2,Higher-Value Inactive Customers,1.03,194.934,189.837,1.282,312.667,1.375,0.0,0.0,0.0,0.007,1.33,1.171,0.944,1.026,3.16,0.761,0.974,0.931,1.24,0.003,0.527,0.0,0.0,0.0,0.0
