segment_id,segment_name,frequency_orders,monetary_total_spend,avg_order_value,total_items_bought,recency_days,customer_tenure_days,orders_last_30d,spend_last_30d,orders_last_90d,spend_last_90d,num_reviews,avg_review_score,negative_review_ratio,num_payment_types_used,avg_installments,credit_card_ratio,num_unique_categories,favorite_category_ratio,avg_items_per_order,orders_per_tenure_day,spend_per_tenure_day,recent_30d_spend_share,recent_90d_spend_share,recent_30d_order_share,recent_90d_order_share
0,Active Recent Customers,1.0,105.85,102.93,1.0,72.0,0.0,0.0,0.0,1.0,103.26,1.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1,Dormant One-Time Customers,1.0,105.155,102.64,1.0,291.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Higher-Value Inactive Customers,1.0,119.93,117.48,1.0,284.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
