threshold,precision,recall,f1,tp,fp,fn,tn,predicted_positive
0.5,0.009901543969568136,0.4022727272727273,0.019327364053286743,177,17699,263,59669,17876
0.3,0.005869317037136525,0.9931818181818182,0.01166967087255491,437,74018,3,3350,74455
0.2,0.005699186570644008,1.0,0.011333779815568492,440,76764,0,604,77204
0.1,0.005665795336020294,1.0,0.011267749907169106,440,77219,0,149,77659
0.05,0.005658800077165456,1.0,0.01125391649082422,440,77315,0,53,77755
0.03,0.005657344905175185,1.0,0.0112510388032986,440,77335,0,33,77775
0.02,0.005656399444644418,1.0,0.011249169095464539,440,77348,0,20,77788
0.01,0.005655672382323453,1.0,0.011247731281474476,440,77358,0,10,77798
