threshold,precision,recall,f1,tp,fp,fn,tn,predicted_positive
0.5,0.009905048159027256,0.32954545454545453,0.019232044565289475,145,14494,295,62874,14639
0.3,0.005997716532019135,0.9431818181818182,0.011919635804862636,415,68778,25,8590,69193
0.2,0.005665981863623873,0.9840909090909091,0.011267092543682753,433,75988,7,1380,76421
0.1,0.005648045698993902,0.9977272727272727,0.011232505181280864,439,77287,1,81,77726
0.05,0.005654945506888752,1.0,0.011246293834986197,440,77368,0,0,77808
0.03,0.005654945506888752,1.0,0.011246293834986197,440,77368,0,0,77808
0.02,0.005654945506888752,1.0,0.011246293834986197,440,77368,0,0,77808
0.01,0.005654945506888752,1.0,0.011246293834986197,440,77368,0,0,77808
