topic_id,keywords
0,"prazo, produto, antes, chegou, bem, entregue, entrega, recomendo, ótimo, dentro, tudo, qualidade, ótima, bom, certo"
1,"produto, veio, otimo, comprei, recebi, porém, qualidade, quero, cor, diferente, foto, errado, defeito, pedi, caixa"
2,"recomendo, gostei, super, loja, tudo, produto, sempre, comprar, ok, conforme, compra, perfeito, lannister, lindo, parabéns"
3,"produto, recebi, ainda, comprei, compra, entregue, dia, boa, entrega, pedido, nao, loja, chegou, agora, pois"
4,"bom, entrega, produto, excelente, rápida, qualidade, produtos, dois, frete, ótimo, preço, atendimento, super, rapida, correios"
