threshold,precision,recall,f1,tp,fp,fn,tn,predicted_positive
0.5,0.009781751249013936,0.42272727272727273,0.019121048573631456,186,18829,254,58539,19015
0.3,0.005865693077945262,0.9931818181818182,0.011662507839500407,437,74064,3,3304,74501
0.2,0.005697120364615703,1.0,0.011329694098259346,440,76792,0,576,77232
0.1,0.005665430572723527,1.0,0.011267028577281573,440,77224,0,144,77664
0.05,0.005658727300787077,1.0,0.011253772571487032,440,77316,0,52,77756
0.03,0.005657272166220942,1.0,0.011250894957553442,440,77336,0,32,77776
0.02,0.005656326730000385,1.0,0.011249025297523935,440,77349,0,19,77789
0.01,0.00565559968637129,1.0,0.011247587520290392,440,77359,0,9,77799
